Year,Quarter,Category,Name,RegisteredUsers
2022,2,states,telangana,23314363
2022,2,states,west bengal,23124388
2022,2,states,tamil nadu,22829720
2022,2,states,madhya pradesh,20766417
2022,2,states,gujarat,20321596
2022,2,districts,bengaluru urban,13342916
2022,2,districts,pune,8757249
2022,2,districts,thane,5471749
2022,2,districts,jaipur,5409763
2022,2,districts,mumbai suburban,5281053
2022,2,districts,hyderabad,4519625
2022,2,districts,ahmadabad,4105172
2022,2,districts,rangareddy,3911372
2022,2,districts,north twenty four parganas,3397791
2022,2,districts,surat,3385398
2022,2,pincodes,201301,735907
2022,2,pincodes,110059,619737
2022,2,pincodes,560068,573310
2022,2,pincodes,421302,547501
2022,2,pincodes,500072,499269
2022,2,pincodes,122001,490709
2022,2,pincodes,110092,484816
2022,2,pincodes,110086,429566
2022,2,pincodes,121004,422488
2022,2,pincodes,560078,407066
2022,4,states,maharashtra,55954028
2022,4,states,uttar pradesh,45648650
2022,4,states,karnataka,36081698
2022,4,states,andhra pradesh,27778016
